department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
8,7,3,2,2,1,35,5.0,8,0,49,0
5,22,1,1,1,1,30,5.0,4,0,60,0
8,19,1,1,2,1,34,3.0,7,0,50,0
8,23,1,1,1,2,39,1.0,10,0,50,0
9,26,1,1,1,1,45,3.0,2,0,73,0
1,2,1,1,2,2,31,3.0,7,0,85,0
5,20,1,2,1,1,31,3.0,5,0,59,0
5,34,3,1,2,1,33,3.0,6,0,63,0
1,20,1,1,1,1,28,4.0,5,0,83,0
8,1,3,1,2,1,32,5.0,5,0,54,0
9,23,,1,2,1,30,,1,0,77,0
8,7,1,2,2,1,35,5.0,3,0,50,1
8,4,1,1,2,1,49,5.0,5,0,49,0
9,29,3,1,1,2,39,3.0,16,0,80,0
7,2,3,1,2,1,37,3.0,7,0,84,0
5,7,1,1,1,1,37,1.0,10,0,60,0
9,2,1,1,1,1,38,3.0,5,0,77,0
8,31,1,1,1,1,34,1.0,4,0,51,0
8,31,1,1,1,1,34,5.0,8,0,46,0
5,15,1,1,1,1,37,3.0,9,0,59,0
6,14,1,1,1,1,35,3.0,7,0,75,0
5,15,,1,2,1,41,4.0,11,0,57,0
2,11,1,2,1,1,28,3.0,4,0,63,0
6,5,1,1,1,1,27,,1,0,70,0
2,22,3,1,2,2,39,5.0,7,0,59,0
9,22,1,1,1,1,27,5.0,3,0,83,0
6,26,1,1,1,1,31,5.0,4,0,68,0
9,26,1,1,1,1,33,4.0,4,0,79,0
1,5,1,1,1,1,29,5.0,3,0,80,0
8,4,1,1,2,1,26,,1,0,44,0
6,15,1,1,2,1,37,5.0,10,0,72,0
2,31,1,1,1,2,26,1.0,2,0,61,0
8,7,,2,2,1,24,1.0,2,0,48,0
5,2,1,1,2,2,57,4.0,6,0,58,0
1,22,1,1,1,2,27,5.0,3,0,87,0
8,22,1,1,1,1,40,2.0,4,0,47,0
9,28,1,1,2,1,33,4.0,4,0,75,0
8,7,1,2,2,1,40,5.0,3,0,47,0
8,1,3,1,1,1,42,5.0,5,0,51,0
8,28,1,1,2,1,33,5.0,6,0,51,1
9,15,1,1,1,1,34,3.0,10,0,80,0
5,2,1,2,1,2,23,4.0,2,0,57,0
3,2,1,1,2,1,59,4.0,26,0,52,0
8,2,,1,1,3,24,2.0,2,0,48,0
1,2,1,1,1,1,44,5.0,12,0,88,0
6,17,1,2,2,1,50,5.0,11,0,71,0
6,13,3,2,1,1,37,4.0,4,0,71,0
9,16,1,1,2,1,40,3.0,11,0,80,0
8,20,1,1,2,1,30,3.0,3,0,49,0
6,2,3,2,2,1,56,3.0,12,0,73,0
2,2,1,1,2,1,20,4.0,2,0,60,0
8,25,1,2,2,1,31,3.0,8,0,48,0
6,15,1,1,2,1,40,3.0,12,0,65,0
3,22,1,1,1,1,30,1.0,6,0,50,0
5,22,1,1,1,1,39,3.0,5,0,62,0
1,31,1,1,1,2,26,2.0,2,0,85,0
8,31,1,2,1,1,29,,1,0,49,0
7,22,3,1,2,1,40,3.0,5,0,84,0
8,16,1,1,1,2,27,,1,0,47,0
8,19,1,1,1,1,40,4.0,7,0,52,0
8,4,3,1,1,1,50,4.0,17,0,47,1
8,29,1,1,2,1,25,3.0,3,0,53,0
1,22,1,2,1,1,28,,1,0,80,0
8,1,3,1,2,1,35,4.0,2,0,52,0
7,26,1,1,1,1,34,5.0,5,0,87,0
5,13,3,2,2,1,31,3.0,3,0,58,0
2,22,1,1,1,1,27,,1,1,58,1
8,22,1,1,2,1,27,,1,0,61,1
6,10,1,1,1,1,30,4.0,6,0,75,0
1,31,1,1,1,1,30,3.0,7,0,84,1
5,22,1,2,1,1,50,5.0,5,0,59,0
9,22,3,1,1,1,34,5.0,7,0,78,1
8,2,3,2,2,1,41,1.0,12,0,52,0
8,16,1,1,2,1,32,4.0,6,0,44,0
8,7,1,1,1,1,50,3.0,14,0,52,0
8,2,3,1,2,1,38,4.0,2,0,49,1
8,27,1,1,2,2,29,1.0,5,0,51,0
8,30,1,1,2,1,35,4.0,3,0,53,0
1,2,1,1,1,1,25,3.0,2,0,91,0
8,22,1,1,2,1,30,3.0,3,0,58,1
9,2,1,1,3,1,47,3.0,7,0,79,0
5,4,3,1,2,1,35,2.0,7,0,53,0
8,2,,1,2,2,25,3.0,2,0,53,0
7,22,1,1,1,1,36,4.0,8,0,82,0
4,7,1,1,1,1,29,,1,0,65,1
5,11,3,2,2,1,42,5.0,11,0,60,1
3,20,1,2,2,1,28,2.0,6,0,52,0
8,2,,1,2,1,39,1.0,9,0,49,0
6,7,3,1,2,1,32,5.0,3,0,69,1
8,31,1,2,1,1,31,,1,0,51,0
8,2,,2,2,1,20,,1,0,55,0
1,12,1,1,1,1,34,3.0,8,0,85,0
6,2,3,1,2,2,46,4.0,3,0,74,0
3,2,3,1,1,1,47,3.0,7,0,44,0
5,2,1,2,1,1,44,4.0,13,0,53,0
1,14,1,1,2,1,31,4.0,4,0,86,0
9,26,1,2,2,1,23,,1,0,77,0
5,2,1,2,2,1,33,3.0,5,0,57,0
8,31,1,1,1,1,41,3.0,12,0,52,0
2,2,3,1,1,1,60,5.0,17,0,59,0
5,15,1,1,1,1,31,5.0,4,0,63,1
5,26,1,2,1,1,37,3.0,11,0,57,0
1,7,1,1,2,2,39,3.0,4,0,83,0
8,7,1,1,1,1,40,5.0,8,0,54,0
8,28,3,1,2,1,42,5.0,4,0,50,0
5,13,1,1,1,1,35,4.0,6,0,57,1
5,13,3,2,2,1,41,4.0,6,0,62,0
6,2,1,2,1,1,23,3.0,2,0,73,0
8,16,1,1,2,2,31,3.0,4,0,50,0
1,22,3,1,1,1,42,2.0,19,0,79,0
8,22,1,1,1,3,29,4.0,2,0,49,0
3,13,1,2,1,1,30,,1,0,54,0
5,2,1,1,2,1,41,4.0,6,0,63,0
8,7,1,2,1,1,40,3.0,2,0,90,1
8,2,1,1,3,1,34,5.0,5,0,49,0
8,4,1,2,1,1,31,4.0,2,0,46,0
9,2,1,1,1,1,27,5.0,2,0,86,1
6,21,1,1,2,4,30,3.0,2,0,72,0
6,23,1,2,1,1,27,4.0,4,0,72,1
9,15,1,1,1,4,36,4.0,7,0,82,0
9,2,1,1,2,1,35,4.0,6,0,77,0
8,25,3,1,1,1,34,5.0,7,0,51,1
6,34,3,1,2,1,37,5.0,3,1,92,1
5,22,1,2,2,1,27,,1,0,58,0
6,2,3,1,2,2,47,3.0,5,0,71,0
1,8,1,1,1,1,28,,1,0,83,0
6,27,3,2,1,1,40,5.0,5,0,68,0
8,27,1,2,1,1,30,,1,0,50,0
5,1,3,1,1,1,38,5.0,9,0,61,0
8,25,1,1,1,1,30,3.0,2,0,47,0
8,11,1,2,2,1,28,5.0,3,0,46,0
6,22,1,1,2,2,28,5.0,4,0,67,0
5,29,1,1,2,1,35,4.0,7,0,58,0
1,22,1,1,1,1,32,3.0,8,0,89,1
8,26,3,1,2,1,36,5.0,8,0,50,0
5,7,1,1,2,1,24,,1,0,56,0
9,15,1,1,1,1,27,3.0,4,0,78,0
2,28,3,1,1,2,34,3.0,7,0,56,0
9,14,1,2,1,1,31,4.0,4,1,78,0
9,27,1,2,2,1,30,4.0,2,0,77,0
9,29,1,2,1,2,30,3.0,7,1,76,0
2,23,1,1,2,1,31,,1,0,56,0
1,25,1,1,1,1,30,5.0,3,0,84,0
2,22,1,1,2,1,28,3.0,2,0,57,0
9,2,1,1,1,2,28,3.0,5,0,81,0
8,15,1,1,1,1,29,3.0,2,0,51,0
8,22,3,1,2,1,46,3.0,11,0,51,0
9,29,1,1,2,1,31,5.0,4,0,80,0
6,5,1,1,2,1,28,1.0,4,0,72,0
8,4,3,1,1,1,31,4.0,6,0,50,0
3,7,3,2,1,1,37,3.0,9,0,48,0
9,5,1,2,1,2,34,5.0,8,0,88,1
6,2,1,1,2,1,25,5.0,3,0,70,1
5,22,3,1,2,1,40,4.0,4,0,57,0
5,13,3,1,1,1,43,3.0,7,0,56,1
5,13,1,1,1,1,36,1.0,5,0,56,0
4,29,1,1,2,1,29,3.0,3,0,63,0
2,13,1,1,2,2,35,3.0,2,0,56,0
1,25,3,1,1,1,34,5.0,2,0,84,0
8,16,1,2,2,1,32,4.0,4,0,45,0
3,4,1,1,1,1,27,,1,0,50,0
9,26,1,1,2,1,29,3.0,5,0,75,0
8,5,1,1,2,1,34,1.0,4,0,48,0
6,2,3,1,2,1,37,5.0,7,0,70,0
6,22,1,2,1,1,33,3.0,3,0,73,0
6,2,3,2,1,1,33,5.0,4,0,67,0
8,16,1,2,1,1,39,1.0,8,0,45,0
9,23,3,1,1,1,34,4.0,7,0,82,0
9,22,1,1,1,2,32,4.0,6,0,84,0
8,7,3,1,1,1,34,4.0,6,0,53,0
2,12,1,1,1,1,29,5.0,6,0,61,0
8,2,1,1,2,2,28,1.0,2,0,50,0
9,7,1,2,1,1,28,2.0,5,0,75,0
6,2,3,2,1,2,35,3.0,9,0,70,0
9,2,1,2,1,2,40,3.0,3,0,86,0
8,2,1,2,1,2,27,2.0,4,0,54,0
6,22,1,2,1,3,26,3.0,3,0,70,0
5,2,1,1,2,1,43,2.0,12,0,57,0
2,26,1,1,1,1,23,,1,0,61,0
1,25,1,1,2,1,29,5.0,6,0,84,0
8,14,1,1,2,1,43,3.0,15,0,51,0
8,2,1,1,2,3,27,4.0,4,0,49,0
6,27,1,1,2,1,26,4.0,4,0,70,0
6,13,1,2,1,1,31,5.0,5,0,72,0
5,7,1,1,1,1,40,4.0,11,0,58,0
5,15,1,2,1,2,39,5.0,12,0,55,0
5,2,1,2,1,2,30,3.0,6,0,57,0
9,2,3,1,1,1,47,4.0,4,0,77,0
8,17,1,1,1,1,34,4.0,7,0,48,1
5,2,,2,1,1,33,4.0,9,0,64,0
8,23,3,1,1,1,41,5.0,7,0,51,0
9,7,1,1,1,1,29,1.0,4,0,80,0
1,31,1,2,1,1,32,3.0,4,0,86,0
6,7,3,2,1,1,47,5.0,9,0,68,0
5,27,1,1,1,1,35,4.0,3,0,65,0
9,22,1,1,1,1,27,4.0,2,0,75,0
1,32,1,1,1,1,29,1.0,3,0,81,0
8,20,1,1,2,2,36,3.0,9,0,49,0
8,15,1,1,1,2,35,1.0,8,0,39,0
6,2,1,2,2,2,34,3.0,2,0,70,0
8,23,3,2,2,1,34,4.0,5,1,94,1
5,2,3,1,2,1,39,3.0,2,0,60,0
8,25,1,1,1,1,26,5.0,2,0,51,0
5,31,1,2,2,1,30,5.0,4,0,56,0
5,16,,2,1,1,31,4.0,2,0,62,0
3,2,3,1,2,1,44,5.0,6,0,48,0
8,1,1,1,1,1,38,3.0,4,0,49,0
9,26,1,1,1,1,40,1.0,3,0,78,0
4,2,3,1,2,1,50,5.0,6,1,58,0
6,19,3,1,1,1,44,3.0,12,0,70,0
6,2,2,2,1,1,23,1.0,2,0,69,0
8,7,3,2,2,1,36,1.0,2,0,53,0
1,27,1,1,2,1,25,1.0,4,0,80,0
5,28,1,1,2,1,34,5.0,4,0,58,0
1,4,1,1,2,1,28,,1,0,85,0
1,1,1,1,1,2,30,5.0,6,0,81,0
6,12,1,1,2,1,35,1.0,8,0,67,0
1,6,1,1,2,1,33,4.0,8,0,86,0
1,13,3,1,1,1,30,3.0,4,0,80,0
1,26,1,1,1,2,27,5.0,3,0,85,0
6,2,1,1,1,4,29,,1,0,68,0
5,2,1,1,2,1,43,3.0,3,0,58,0
1,22,1,1,1,2,28,3.0,5,0,86,0
6,17,1,1,1,1,31,5.0,3,0,68,0
5,2,1,2,1,1,43,4.0,12,0,58,0
5,4,1,2,1,1,35,5.0,9,0,60,0
8,5,1,1,1,2,35,3.0,9,0,49,0
5,2,3,1,1,1,50,3.0,8,0,59,0
3,17,1,2,1,1,26,4.0,3,0,50,0
8,27,1,1,2,1,32,3.0,5,0,52,0
5,13,3,2,1,1,38,5.0,2,1,93,1
8,26,,1,1,1,22,4.0,2,0,51,0
3,20,1,1,1,1,28,,1,0,52,0
6,14,1,2,2,1,37,3.0,9,0,69,0
1,2,1,1,2,2,54,3.0,9,0,86,0
8,11,1,1,2,1,36,3.0,8,0,51,0
9,6,1,1,1,1,35,3.0,8,0,78,0
1,29,1,1,1,1,39,3.0,4,0,85,0
5,12,1,2,2,1,31,5.0,4,0,63,0
5,31,1,1,1,2,38,3.0,7,1,60,0
8,22,1,1,2,1,28,1.0,2,0,48,0
8,7,1,1,2,3,26,2.0,3,0,52,0
8,26,1,1,2,1,29,,1,0,54,0
1,20,1,1,2,1,30,3.0,4,0,84,0
5,22,1,1,2,2,37,2.0,4,0,57,1
7,2,,1,1,1,25,,1,0,76,0
9,22,1,1,3,1,26,4.0,2,0,82,0
9,7,1,1,1,1,31,4.0,4,0,78,0
9,14,1,2,1,1,38,5.0,7,0,82,0
8,13,1,1,1,1,39,4.0,9,0,49,0
8,4,1,1,1,1,30,5.0,4,1,50,0
6,15,3,2,1,1,34,5.0,8,0,67,0
6,23,3,2,1,1,33,3.0,5,0,72,0
